"layoff_month","industry","monthly_layoffs","rolling_3m_avg"
"2023-01","Sales",8040,3115
"2023-02","Sales",1271,3128
"2023-03","Sales",17,3109
"2023-04","Sales",NULL,644
"2023-05","Sales",NULL,17
"2023-06","Sales",260,260
"2023-07","Sales",NULL,260
"2023-08","Sales",120,190
"2023-09","Sales",NULL,120
"2023-10","Sales",140,130
"2023-11","Sales",NULL,140
"2024-01","Sales",700,420
"2024-02","Sales",480,590
"2024-05","Sales",15,398
"2024-07","Sales",300,265
"2024-10","Sales",12,109
"2024-11","Sales",67,126
"2025-02","Sales",1000,360
"2025-04","Sales",NULL,534
"2025-06","Sales",351,676
"2025-07","Sales",106,229
"2025-08","Sales",4000,1486
"2025-09","Sales",385,1497
"2025-12","Sales",24,1470
"2026-02","Sales",76,162
"2020-03","Security",NULL,NULL
"2020-04","Security",97,97
"2020-05","Security",63,80
"2020-06","Security",50,70
"2020-11","Security",NULL,57
"2020-12","Security",78,64
"2021-08","Security",30,54
"2022-05","Security",460,189
"2022-06","Security",1463,651
"2022-07","Security",157,693
"2022-08","Security",457,692
"2022-09","Security",24,213
"2022-10","Security",518,333
"2022-11","Security",380,307
"2022-12","Security",240,379
"2023-01","Security",868,496
"2023-02","Security",917,675
"2023-03","Security",177,654
"2023-04","Security",791,628
"2023-05","Security",440,469
"2023-06","Security",118,450
"2023-07","Security",456,338
"2023-08","Security",1001,525
"2023-09","Security",67,508
"2023-10","Security",70,379
"2023-11","Security",120,86
"2024-01","Security",380,190
"2024-02","Security",400,300
"2024-03","Security",NULL,390
"2024-04","Security",20,210
"2024-07","Security",66,43
"2024-09","Security",40,42
"2024-10","Security",200,102
"2024-11","Security",250,163
"2025-01","Security",NULL,225
"2025-02","Security",480,365
"2025-03","Security",67,274
"2025-05","Security",520,356
"2025-07","Security",65,217
"2025-08","Security",106,230
"2025-10","Security",200,124
"2025-11","Security",180,162
"2025-12","Security",20,133
"2026-01","Security",250,150
"2026-02","Security",540,270
"2026-03","Security",25,272
"2020-03","Support",16,16
"2020-04","Support",213,115
"2020-05","Support",39,89
"2020-06","Support",26,93
"2020-11","Support",30,32
"2022-06","Support",102,53
"2022-07","Support",120,84
"2022-08","Support",130,117
"2022-09","Support",320,190
"2022-10","Support",200,217
"2022-11","Support",592,371
"2022-12","Support",90,294
"2023-01","Support",1218,633
"2023-02","Support",345,551
"2023-03","Support",314,626
"2023-05","Support",320,326
"2023-06","Support",NULL,317
"2023-07","Support",2000,1160
"2023-08","Support",NULL,2000
"2023-09","Support",NULL,2000
"2024-01","Support",NULL,NULL
"2024-03","Support",NULL,NULL
"2024-05","Support",116,116
"2024-08","Support",190,153
"2024-11","Support",660,322
"2025-01","Support",66,305
"2025-02","Support",551,426
"2025-04","Support",123,247
"2025-08","Support",NULL,337
"2025-12","Support",100,112
"2026-03","Support",100,100
"2020-03","Transportation",916,916
"2020-04","Transportation",1945,1431
"2020-05","Transportation",10340,4400
"2020-06","Transportation",1425,4570
"2020-08","Transportation",NULL,5883
"2020-09","Transportation",30,728
"2020-11","Transportation",NULL,30
"2021-02","Transportation",200,115
"2022-01","Transportation",NULL,200
"2022-02","Transportation",111,156
"2022-04","Transportation",100,106
"2022-05","Transportation",4550,1587
"2022-06","Transportation",2490,2380
"2022-07","Transportation",2178,3073
"2022-08","Transportation",517,1728
"2022-09","Transportation",473,1056
"2022-10","Transportation",238,409
"2022-11","Transportation",4231,1647
"2022-12","Transportation",1179,1883
"2023-01","Transportation",2178,2529
"2023-02","Transportation",1148,1502
"2023-03","Transportation",2425,1917
"2023-04","Transportation",1208,1594
"2023-05","Transportation",639,1424
"2023-06","Transportation",1617,1155
"2023-07","Transportation",252,836
"2023-08","Transportation",320,730
"2023-09","Transportation",17,196
"2023-10","Transportation",NULL,169
"2023-11","Transportation",128,73
"2023-12","Transportation",1115,622
"2024-01","Transportation",908,717
"2024-02","Transportation",370,798
"2024-03","Transportation",140,473
"2024-04","Transportation",14801,5104
"2024-05","Transportation",1389,5443
"2024-06","Transportation",1020,5737
"2024-07","Transportation",NULL,1205
"2024-08","Transportation",NULL,1020
"2024-09","Transportation",170,170
"2024-10","Transportation",130,150
"2024-11","Transportation",500,267
"2024-12","Transportation",20,217
"2025-01","Transportation",45,188
"2025-02","Transportation",1040,368
"2025-03","Transportation",1000,695
"2025-04","Transportation",550,863
"2025-05","Transportation",258,603
"2025-06","Transportation",140,316
"2025-07","Transportation",NULL,199
"2025-08","Transportation",NULL,140
"2025-09","Transportation",200,200
"2025-10","Transportation",600,400
"2025-11","Transportation",NULL,400
"2025-12","Transportation",200,400
"2026-01","Transportation",29,115
"2026-02","Transportation",226,152
"2026-03","Transportation",296,184
"2020-03","Travel",1603,1603
"2020-04","Travel",2405,2004
"2020-05","Travel",3910,2639
"2020-06","Travel",350,2222
"2020-07","Travel",4675,2978
"2020-08","Travel",350,1792
"2020-10","Travel",90,1705
"2020-12","Travel",600,347
"2022-05","Travel",200,297
"2022-06","Travel",360,387
"2022-07","Travel",107,222
"2022-11","Travel",370,279
"2022-12","Travel",600,359
"2023-01","Travel",1434,801
"2023-03","Travel",130,721
"2023-04","Travel",NULL,782
"2023-05","Travel",1264,697
"2023-06","Travel",387,826
"2023-07","Travel",50,567
"2023-08","Travel",NULL,219
"2023-09","Travel",257,154
"2023-10","Travel",505,381
"2023-11","Travel",125,296
"2023-12","Travel",145,258
"2024-01","Travel",416,229
"2024-02","Travel",1926,829
"2024-04","Travel",NULL,1171
"2024-05","Travel",873,1400
"2024-06","Travel",103,488
"2024-11","Travel",NULL,488
"2024-12","Travel",60,82
"2025-02","Travel",75,68
"2025-04","Travel",NULL,68
"2025-11","Travel",NULL,75
"2026-01","Travel",250,250
"2026-02","Travel",100,175
